Indicator Name,Indicator Value,Governorates,District,Topic,x,y,Year,Name,GOVERNORATE_ID
Theft crime rate,79,Addammam,Eastern Region Municipality,Livability,52.83786863,21.99674552,2019,الدمام,00500
Traffic accident death rate,9.26,Addammam,Eastern Region Municipality,Livability,52.83786863,21.99674552,2019,الدمام,00500
Traffic accident injury rate,85.99,Addammam,Eastern Region Municipality,Livability,52.83786863,21.99674552,2019,الدمام,00500
accidents outside cities,65,Alahsa,Al Ahsa,Livability,49.48735584,22.33361633,2019,محافظة الأحساء,00501
accidents within cities,33,Alahsa,Al Ahsa,Livability,49.48735584,22.33361633,2019,محافظة الأحساء,00501
Average number of death resulting from traffic accidents (age: 1-15 years),18.2,Alahsa,Al Ahsa,Livability,49.48735584,22.33361633,2019,محافظة الأحساء,00501
Average number of injuries resulting from traffic accidents (age more than 36 years),44.4,Alahsa,Al Ahsa,Livability,49.48735584,22.33361633,2019,محافظة الأحساء,00501
Average number of injuries resulting from traffic accidents (age: 1-15 years),87.6,Alahsa,Al Ahsa,Livability,49.48735584,22.33361633,2019,محافظة الأحساء,00501
Average number of injuries resulting from traffic accidents (age: 16-35 years),172.9,Alahsa,Al Ahsa,Livability,49.48735584,22.33361633,2019,محافظة الأحساء,00501
death rate,29,Alahsa,Al Ahsa,Livability,49.48735584,22.33361633,2019,محافظة الأحساء,00501
injury rate,72,Alahsa,Al Ahsa,Livability,49.48735584,22.33361633,2019,محافظة الأحساء,00501
Per capita green space - square meters per person,1.3,Alahsa,Al Ahsa,Livability,49.48735584,22.33361633,2019,محافظة الأحساء,00501
Per capita share of squares and public places,10.4,Alahsa,Al Ahsa,Livability,49.48735584,22.33361633,2019,محافظة الأحساء,00501
Percentage of accidents incurred by non-Saudi,68,Alahsa,Al Ahsa,Livability,49.48735584,22.33361633,2019,محافظة الأحساء,00501
Percentage of road accidents for Saudi,87,Alahsa,Al Ahsa,Livability,49.48735584,22.33361633,2019,محافظة الأحساء,00501
Percentage of serious accidents outside cities,51,Alahsa,Al Ahsa,Livability,49.48735584,22.33361633,2019,محافظة الأحساء,00501
Percentage of serious accidents within cities,64,Alahsa,Al Ahsa,Livability,49.48735584,22.33361633,2019,محافظة الأحساء,00501
suicide mortality rate,88,Alahsa,Al Ahsa,Livability,49.48735584,22.33361633,2019,محافظة الأحساء,00501
"The homicide rate per 100,000 population",3.6,Alahsa,Al Ahsa,Livability,49.48735584,22.33361633,2019,محافظة الأحساء,00501
"The number of traffic accident injuries per 100,000 people",253,Alahsa,Al Ahsa,Livability,49.48735584,22.33361633,2019,محافظة الأحساء,00501
Theft crime rate,160,Alahsa,Al Ahsa,Livability,49.48735584,22.33361633,2019,محافظة الأحساء,00501
Traffic accident death rate,58.8,Alahsa,Al Ahsa,Livability,49.48735584,22.33361633,2019,محافظة الأحساء,00501
Traffic accident injury rate,23,Alahsa,Al Ahsa,Livability,49.48735584,22.33361633,2019,محافظة الأحساء,00501
accidents outside cities,85,Hafar albatin,Hafar Al Batin,Livability,46.199112,28.17684342,2019,محافظة حفر الباطن,00502
accidents within cities,62,Hafar albatin,Hafar Al Batin,Livability,46.199112,28.17684342,2019,محافظة حفر الباطن,00502
Average number of death resulting from traffic accidents (age: 1-15 years),5.2,Hafar albatin,Hafar Al Batin,Livability,46.199112,28.17684342,2019,محافظة حفر الباطن,00502
Average number of injuries resulting from traffic accidents (age more than 36 years),90,Hafar albatin,Hafar Al Batin,Livability,46.199112,28.17684342,2019,محافظة حفر الباطن,00502
Average number of injuries resulting from traffic accidents (age: 1-15 years),48,Hafar albatin,Hafar Al Batin,Livability,46.199112,28.17684342,2019,محافظة حفر الباطن,00502
Average number of injuries resulting from traffic accidents (age: 16-35 years),179.4,Hafar albatin,Hafar Al Batin,Livability,46.199112,28.17684342,2019,محافظة حفر الباطن,00502
death rate,23,Hafar albatin,Hafar Al Batin,Livability,46.199112,28.17684342,2019,محافظة حفر الباطن,00502
injury rate,69,Hafar albatin,Hafar Al Batin,Livability,46.199112,28.17684342,2019,محافظة حفر الباطن,00502
Per capita green space - square meters per person,2.6,Hafar albatin,Hafar Al Batin,Livability,46.199112,28.17684342,2019,محافظة حفر الباطن,00502
Per capita share of squares and public places,9.1,Hafar albatin,Hafar Al Batin,Livability,46.199112,28.17684342,2019,محافظة حفر الباطن,00502
Percentage of accidents incurred by non-Saudi,69,Hafar albatin,Hafar Al Batin,Livability,46.199112,28.17684342,2019,محافظة حفر الباطن,00502
Percentage of road accidents for Saudi,64,Hafar albatin,Hafar Al Batin,Livability,46.199112,28.17684342,2019,محافظة حفر الباطن,00502
Percentage of serious accidents outside cities,36,Hafar albatin,Hafar Al Batin,Livability,46.199112,28.17684342,2019,محافظة حفر الباطن,00502
Percentage of serious accidents within cities,45,Hafar albatin,Hafar Al Batin,Livability,46.199112,28.17684342,2019,محافظة حفر الباطن,00502
suicide mortality rate,57,Hafar albatin,Hafar Al Batin,Livability,46.199112,28.17684342,2019,محافظة حفر الباطن,00502
"The homicide rate per 100,000 population",3.6,Hafar albatin,Hafar Al Batin,Livability,46.199112,28.17684342,2019,محافظة حفر الباطن,00502
"The number of traffic accident injuries per 100,000 people",105,Hafar albatin,Hafar Al Batin,Livability,46.199112,28.17684342,2019,محافظة حفر الباطن,00502
Theft crime rate,104,Hafar albatin,Hafar Al Batin,Livability,46.199112,28.17684342,2019,محافظة حفر الباطن,00502
Traffic accident death rate,53.2,Hafar albatin,Hafar Al Batin,Livability,46.199112,28.17684342,2019,محافظة حفر الباطن,00502
Traffic accident injury rate,30,Hafar albatin,Hafar Al Batin,Livability,46.199112,28.17684342,2019,محافظة حفر الباطن,00502
accidents outside cities,38,Aljubayl,Al Jubayl,Livability,49.33950845,27.00163279,2019,محافظة الجبيل,00503
accidents within cities,62,Aljubayl,Al Jubayl,Livability,49.33950845,27.00163279,2019,محافظة الجبيل,00503
Average number of death resulting from traffic accidents (age: 1-15 years),3.57,Aljubayl,Al Jubayl,Livability,49.33950845,27.00163279,2019,محافظة الجبيل,00503
Average number of injuries resulting from traffic accidents (age more than 36 years),6.54,Aljubayl,Al Jubayl,Livability,49.33950845,27.00163279,2019,محافظة الجبيل,00503
Average number of injuries resulting from traffic accidents (age: 1-15 years),6.42,Aljubayl,Al Jubayl,Livability,49.33950845,27.00163279,2019,محافظة الجبيل,00503
Average number of injuries resulting from traffic accidents (age: 16-35 years),9.87,Aljubayl,Al Jubayl,Livability,49.33950845,27.00163279,2019,محافظة الجبيل,00503
death rate,30,Aljubayl,Al Jubayl,Livability,49.33950845,27.00163279,2019,محافظة الجبيل,00503
injury rate,70,Aljubayl,Al Jubayl,Livability,49.33950845,27.00163279,2019,محافظة الجبيل,00503
Per capita green space - square meters per person,1.28,Aljubayl,Al Jubayl,Livability,49.33950845,27.00163279,2019,محافظة الجبيل,00503
Per capita share of squares and public places,0.47,Aljubayl,Al Jubayl,Livability,49.33950845,27.00163279,2019,محافظة الجبيل,00503
Percentage of accidents incurred by non-Saudi,42.11,Aljubayl,Al Jubayl,Livability,49.33950845,27.00163279,2019,محافظة الجبيل,00503
Percentage of road accidents for Saudi,58,Aljubayl,Al Jubayl,Livability,49.33950845,27.00163279,2019,محافظة الجبيل,00503
Percentage of serious accidents outside cities,38,Aljubayl,Al Jubayl,Livability,49.33950845,27.00163279,2019,محافظة الجبيل,00503
Percentage of serious accidents within cities,62,Aljubayl,Al Jubayl,Livability,49.33950845,27.00163279,2019,محافظة الجبيل,00503
suicide mortality rate,2.91,Aljubayl,Al Jubayl,Livability,49.33950845,27.00163279,2019,محافظة الجبيل,00503
"The homicide rate per 100,000 population",0.42,Aljubayl,Al Jubayl,Livability,49.33950845,27.00163279,2019,محافظة الجبيل,00503
"The number of traffic accident injuries per 100,000 people",7.91,Aljubayl,Al Jubayl,Livability,49.33950845,27.00163279,2019,محافظة الجبيل,00503
Theft crime rate,43,Aljubayl,Al Jubayl,Livability,49.33950845,27.00163279,2019,محافظة الجبيل,00503
Traffic accident death rate,3.33,Aljubayl,Al Jubayl,Livability,49.33950845,27.00163279,2019,محافظة الجبيل,00503
Traffic accident injury rate,70.37,Aljubayl,Al Jubayl,Livability,49.33950845,27.00163279,2019,محافظة الجبيل,00503
accidents outside cities,41,Alqatif,Al Qatif,Livability,49.84154847,26.60038469,2019,محافظة القطيف,00504
accidents within cities,59,Alqatif,Al Qatif,Livability,49.84154847,26.60038469,2019,محافظة القطيف,00504
Average number of death resulting from traffic accidents (age: 1-15 years),1.39,Alqatif,Al Qatif,Livability,49.84154847,26.60038469,2019,محافظة القطيف,00504
Average number of injuries resulting from traffic accidents (age more than 36 years),21.34,Alqatif,Al Qatif,Livability,49.84154847,26.60038469,2019,محافظة القطيف,00504
Average number of injuries resulting from traffic accidents (age: 1-15 years),14.56,Alqatif,Al Qatif,Livability,49.84154847,26.60038469,2019,محافظة القطيف,00504
Average number of injuries resulting from traffic accidents (age: 16-35 years),41.1,Alqatif,Al Qatif,Livability,49.84154847,26.60038469,2019,محافظة القطيف,00504
death rate,20,Alqatif,Al Qatif,Livability,49.84154847,26.60038469,2019,محافظة القطيف,00504
injury rate,80,Alqatif,Al Qatif,Livability,49.84154847,26.60038469,2019,محافظة القطيف,00504
Per capita green space - square meters per person,3.08,Alqatif,Al Qatif,Livability,49.84154847,26.60038469,2019,محافظة القطيف,00504
Per capita share of squares and public places,3.47,Alqatif,Al Qatif,Livability,49.84154847,26.60038469,2019,محافظة القطيف,00504
Percentage of accidents incurred by non-Saudi,68.29,Alqatif,Al Qatif,Livability,49.84154847,26.60038469,2019,محافظة القطيف,00504
Percentage of road accidents for Saudi,32,Alqatif,Al Qatif,Livability,49.84154847,26.60038469,2019,محافظة القطيف,00504
Percentage of serious accidents outside cities,41,Alqatif,Al Qatif,Livability,49.84154847,26.60038469,2019,محافظة القطيف,00504
Percentage of serious accidents within cities,59,Alqatif,Al Qatif,Livability,49.84154847,26.60038469,2019,محافظة القطيف,00504
suicide mortality rate,0.94,Alqatif,Al Qatif,Livability,49.84154847,26.60038469,2019,محافظة القطيف,00504
"The homicide rate per 100,000 population",0.47,Alqatif,Al Qatif,Livability,49.84154847,26.60038469,2019,محافظة القطيف,00504
"The number of traffic accident injuries per 100,000 people",21.52,Alqatif,Al Qatif,Livability,49.84154847,26.60038469,2019,محافظة القطيف,00504
Theft crime rate,120,Alqatif,Al Qatif,Livability,49.84154847,26.60038469,2019,محافظة القطيف,00504
Traffic accident death rate,5.5,Alqatif,Al Qatif,Livability,49.84154847,26.60038469,2019,محافظة القطيف,00504
Traffic accident injury rate,79.65,Alqatif,Al Qatif,Livability,49.84154847,26.60038469,2019,محافظة القطيف,00504
accidents outside cities,58,Alkhubar,Al Khubar,Livability,50.15485218,26.19918576,2019,محافظة الخبر,00505
accidents within cities,84,Alkhubar,Al Khubar,Livability,50.15485218,26.19918576,2019,محافظة الخبر,00505
Average number of death resulting from traffic accidents (age: 1-15 years),19.5,Alkhubar,Al Khubar,Livability,50.15485218,26.19918576,2019,محافظة الخبر,00505
Average number of injuries resulting from traffic accidents (age more than 36 years),80.4,Alkhubar,Al Khubar,Livability,50.15485218,26.19918576,2019,محافظة الخبر,00505
Average number of injuries resulting from traffic accidents (age: 1-15 years),105.6,Alkhubar,Al Khubar,Livability,50.15485218,26.19918576,2019,محافظة الخبر,00505
Average number of injuries resulting from traffic accidents (age: 16-35 years),136.5,Alkhubar,Al Khubar,Livability,50.15485218,26.19918576,2019,محافظة الخبر,00505
death rate,35,Alkhubar,Al Khubar,Livability,50.15485218,26.19918576,2019,محافظة الخبر,00505
injury rate,78,Alkhubar,Al Khubar,Livability,50.15485218,26.19918576,2019,محافظة الخبر,00505
Per capita green space - square meters per person,3.9,Alkhubar,Al Khubar,Livability,50.15485218,26.19918576,2019,محافظة الخبر,00505
Per capita share of squares and public places,11.7,Alkhubar,Al Khubar,Livability,50.15485218,26.19918576,2019,محافظة الخبر,00505
Percentage of accidents incurred by non-Saudi,75,Alkhubar,Al Khubar,Livability,50.15485218,26.19918576,2019,محافظة الخبر,00505
Percentage of road accidents for Saudi,60,Alkhubar,Al Khubar,Livability,50.15485218,26.19918576,2019,محافظة الخبر,00505
Percentage of serious accidents outside cities,63,Alkhubar,Al Khubar,Livability,50.15485218,26.19918576,2019,محافظة الخبر,00505
Percentage of serious accidents within cities,47,Alkhubar,Al Khubar,Livability,50.15485218,26.19918576,2019,محافظة الخبر,00505
suicide mortality rate,36,Alkhubar,Al Khubar,Livability,50.15485218,26.19918576,2019,محافظة الخبر,00505
"The homicide rate per 100,000 population",2.4,Alkhubar,Al Khubar,Livability,50.15485218,26.19918576,2019,محافظة الخبر,00505
"The number of traffic accident injuries per 100,000 people",46,Alkhubar,Al Khubar,Livability,50.15485218,26.19918576,2019,محافظة الخبر,00505
Theft crime rate,74,Alkhubar,Al Khubar,Livability,50.15485218,26.19918576,2019,محافظة الخبر,00505
Traffic accident death rate,44.8,Alkhubar,Al Khubar,Livability,50.15485218,26.19918576,2019,محافظة الخبر,00505
Traffic accident injury rate,54,Alkhubar,Al Khubar,Livability,50.15485218,26.19918576,2019,محافظة الخبر,00505
accidents outside cities,80,Alkhafji,Al Khafji,Livability,48.17477691,28.15171774,2019,محافظة الخفجي,00506
accidents within cities,20,Alkhafji,Al Khafji,Livability,48.17477691,28.15171774,2019,محافظة الخفجي,00506
Average number of death resulting from traffic accidents (age: 1-15 years),8.53,Alkhafji,Al Khafji,Livability,48.17477691,28.15171774,2019,محافظة الخفجي,00506
Average number of injuries resulting from traffic accidents (age more than 36 years),53.61,Alkhafji,Al Khafji,Livability,48.17477691,28.15171774,2019,محافظة الخفجي,00506
Average number of injuries resulting from traffic accidents (age: 1-15 years),17.07,Alkhafji,Al Khafji,Livability,48.17477691,28.15171774,2019,محافظة الخفجي,00506
Average number of injuries resulting from traffic accidents (age: 16-35 years),42.94,Alkhafji,Al Khafji,Livability,48.17477691,28.15171774,2019,محافظة الخفجي,00506
death rate,29,Alkhafji,Al Khafji,Livability,48.17477691,28.15171774,2019,محافظة الخفجي,00506
injury rate,71,Alkhafji,Al Khafji,Livability,48.17477691,28.15171774,2019,محافظة الخفجي,00506
Per capita green space - square meters per person,3.08,Alkhafji,Al Khafji,Livability,48.17477691,28.15171774,2019,محافظة الخفجي,00506
Per capita share of squares and public places,30.61,Alkhafji,Al Khafji,Livability,48.17477691,28.15171774,2019,محافظة الخفجي,00506
Percentage of accidents incurred by non-Saudi,57.14,Alkhafji,Al Khafji,Livability,48.17477691,28.15171774,2019,محافظة الخفجي,00506
Percentage of road accidents for Saudi,43,Alkhafji,Al Khafji,Livability,48.17477691,28.15171774,2019,محافظة الخفجي,00506
Percentage of serious accidents outside cities,80,Alkhafji,Al Khafji,Livability,48.17477691,28.15171774,2019,محافظة الخفجي,00506
Percentage of serious accidents within cities,20,Alkhafji,Al Khafji,Livability,48.17477691,28.15171774,2019,محافظة الخفجي,00506
suicide mortality rate,3.19,Alkhafji,Al Khafji,Livability,48.17477691,28.15171774,2019,محافظة الخفجي,00506
"The homicide rate per 100,000 population",2.13,Alkhafji,Al Khafji,Livability,48.17477691,28.15171774,2019,محافظة الخفجي,00506
"The number of traffic accident injuries per 100,000 people",52.11,Alkhafji,Al Khafji,Livability,48.17477691,28.15171774,2019,محافظة الخفجي,00506
Theft crime rate,156,Alkhafji,Al Khafji,Livability,48.17477691,28.15171774,2019,محافظة الخفجي,00506
Traffic accident death rate,21.27,Alkhafji,Al Khafji,Livability,48.17477691,28.15171774,2019,محافظة الخفجي,00506
Traffic accident injury rate,71.01,Alkhafji,Al Khafji,Livability,48.17477691,28.15171774,2019,محافظة الخفجي,00506
accidents outside cities,60,Ras Tannurah,Ras Tannurah,Livability,49.94809211,26.77873967,2019,محافظة رأس تنورة,00507
accidents within cities,40,Ras Tannurah,Ras Tannurah,Livability,49.94809211,26.77873967,2019,محافظة رأس تنورة,00507
Average number of death resulting from traffic accidents (age: 1-15 years),10.4,Ras Tannurah,Ras Tannurah,Livability,49.94809211,26.77873967,2019,محافظة رأس تنورة,00507
Average number of injuries resulting from traffic accidents (age more than 36 years),11.79,Ras Tannurah,Ras Tannurah,Livability,49.94809211,26.77873967,2019,محافظة رأس تنورة,00507
Average number of injuries resulting from traffic accidents (age: 1-15 years),39.21,Ras Tannurah,Ras Tannurah,Livability,49.94809211,26.77873967,2019,محافظة رأس تنورة,00507
Average number of injuries resulting from traffic accidents (age: 16-35 years),79.4,Ras Tannurah,Ras Tannurah,Livability,49.94809211,26.77873967,2019,محافظة رأس تنورة,00507
death rate,25,Ras Tannurah,Ras Tannurah,Livability,49.94809211,26.77873967,2019,محافظة رأس تنورة,00507
injury rate,75,Ras Tannurah,Ras Tannurah,Livability,49.94809211,26.77873967,2019,محافظة رأس تنورة,00507
Per capita green space - square meters per person,3.9,Ras Tannurah,Ras Tannurah,Livability,49.94809211,26.77873967,2019,محافظة رأس تنورة,00507
Per capita share of squares and public places,7.8,Ras Tannurah,Ras Tannurah,Livability,49.94809211,26.77873967,2019,محافظة رأس تنورة,00507
Percentage of accidents incurred by non-Saudi,46.15,Ras Tannurah,Ras Tannurah,Livability,49.94809211,26.77873967,2019,محافظة رأس تنورة,00507
Percentage of road accidents for Saudi,54,Ras Tannurah,Ras Tannurah,Livability,49.94809211,26.77873967,2019,محافظة رأس تنورة,00507
Percentage of serious accidents outside cities,60,Ras Tannurah,Ras Tannurah,Livability,49.94809211,26.77873967,2019,محافظة رأس تنورة,00507
Percentage of serious accidents within cities,40,Ras Tannurah,Ras Tannurah,Livability,49.94809211,26.77873967,2019,محافظة رأس تنورة,00507
suicide mortality rate,6.07,Ras Tannurah,Ras Tannurah,Livability,49.94809211,26.77873967,2019,محافظة رأس تنورة,00507
"The homicide rate per 100,000 population",2.74,Ras Tannurah,Ras Tannurah,Livability,49.94809211,26.77873967,2019,محافظة رأس تنورة,00507
"The number of traffic accident injuries per 100,000 people",241.22,Ras Tannurah,Ras Tannurah,Livability,49.94809211,26.77873967,2019,محافظة رأس تنورة,00507
Theft crime rate,49,Ras Tannurah,Ras Tannurah,Livability,49.94809211,26.77873967,2019,محافظة رأس تنورة,00507
Traffic accident death rate,6.56,Ras Tannurah,Ras Tannurah,Livability,49.94809211,26.77873967,2019,محافظة رأس تنورة,00507
Traffic accident injury rate,75.36,Ras Tannurah,Ras Tannurah,Livability,49.94809211,26.77873967,2019,محافظة رأس تنورة,00507
accidents outside cities,93,Buqayq,Buqayq,Livability,49.51493518,26.14095716,2019,محافظة بقيق,00508
accidents within cities,7,Buqayq,Buqayq,Livability,49.51493518,26.14095716,2019,محافظة بقيق,00508
Average number of death resulting from traffic accidents (age: 1-15 years),17.4,Buqayq,Buqayq,Livability,49.51493518,26.14095716,2019,محافظة بقيق,00508
Average number of injuries resulting from traffic accidents (age more than 36 years),126.15,Buqayq,Buqayq,Livability,49.51493518,26.14095716,2019,محافظة بقيق,00508
Average number of injuries resulting from traffic accidents (age: 1-15 years),98.62,Buqayq,Buqayq,Livability,49.51493518,26.14095716,2019,محافظة بقيق,00508
Average number of injuries resulting from traffic accidents (age: 16-35 years),337.39,Buqayq,Buqayq,Livability,49.51493518,26.14095716,2019,محافظة بقيق,00508
death rate,21,Buqayq,Buqayq,Livability,49.51493518,26.14095716,2019,محافظة بقيق,00508
injury rate,79,Buqayq,Buqayq,Livability,49.51493518,26.14095716,2019,محافظة بقيق,00508
Per capita green space - square meters per person,2.58,Buqayq,Buqayq,Livability,49.51493518,26.14095716,2019,محافظة بقيق,00508
Per capita share of squares and public places,3.86,Buqayq,Buqayq,Livability,49.51493518,26.14095716,2019,محافظة بقيق,00508
Percentage of accidents incurred by non-Saudi,52.31,Buqayq,Buqayq,Livability,49.51493518,26.14095716,2019,محافظة بقيق,00508
Percentage of road accidents for Saudi,48,Buqayq,Buqayq,Livability,49.51493518,26.14095716,2019,محافظة بقيق,00508
Percentage of serious accidents outside cities,93,Buqayq,Buqayq,Livability,49.51493518,26.14095716,2019,محافظة بقيق,00508
Percentage of serious accidents within cities,7,Buqayq,Buqayq,Livability,49.51493518,26.14095716,2019,محافظة بقيق,00508
suicide mortality rate,3.94,Buqayq,Buqayq,Livability,49.51493518,26.14095716,2019,محافظة بقيق,00508
"The homicide rate per 100,000 population",3.6,Buqayq,Buqayq,Livability,49.51493518,26.14095716,2019,محافظة بقيق,00508
"The number of traffic accident injuries per 100,000 people",24.94,Buqayq,Buqayq,Livability,49.51493518,26.14095716,2019,محافظة بقيق,00508
Theft crime rate,97,Buqayq,Buqayq,Livability,49.51493518,26.14095716,2019,محافظة بقيق,00508
Traffic accident death rate,78.89,Buqayq,Buqayq,Livability,49.51493518,26.14095716,2019,محافظة بقيق,00508
Traffic accident injury rate,79.17,Buqayq,Buqayq,Livability,49.51493518,26.14095716,2019,محافظة بقيق,00508
accidents outside cities,73,Alnuayriyah,Al Nuayriyah,Livability,48.50992707,26.91517793,2019,محافظة النعيرية,00509
accidents within cities,27,Alnuayriyah,Al Nuayriyah,Livability,48.50992707,26.91517793,2019,محافظة النعيرية,00509
Average number of death resulting from traffic accidents (age: 1-15 years),6.5,Alnuayriyah,Al Nuayriyah,Livability,48.50992707,26.91517793,2019,محافظة النعيرية,00509
Average number of injuries resulting from traffic accidents (age more than 36 years),116.37,Alnuayriyah,Al Nuayriyah,Livability,48.50992707,26.91517793,2019,محافظة النعيرية,00509
Average number of injuries resulting from traffic accidents (age: 1-15 years),93.35,Alnuayriyah,Al Nuayriyah,Livability,48.50992707,26.91517793,2019,محافظة النعيرية,00509
Average number of injuries resulting from traffic accidents (age: 16-35 years),285.04,Alnuayriyah,Al Nuayriyah,Livability,48.50992707,26.91517793,2019,محافظة النعيرية,00509
death rate,36,Alnuayriyah,Al Nuayriyah,Livability,48.50992707,26.91517793,2019,محافظة النعيرية,00509
injury rate,64,Alnuayriyah,Al Nuayriyah,Livability,48.50992707,26.91517793,2019,محافظة النعيرية,00509
Per capita green space - square meters per person,3.54,Alnuayriyah,Al Nuayriyah,Livability,48.50992707,26.91517793,2019,محافظة النعيرية,00509
Per capita share of squares and public places,5.81,Alnuayriyah,Al Nuayriyah,Livability,48.50992707,26.91517793,2019,محافظة النعيرية,00509
Percentage of accidents incurred by non-Saudi,48.39,Alnuayriyah,Al Nuayriyah,Livability,48.50992707,26.91517793,2019,محافظة النعيرية,00509
Percentage of road accidents for Saudi,52,Alnuayriyah,Al Nuayriyah,Livability,48.50992707,26.91517793,2019,محافظة النعيرية,00509
Percentage of serious accidents outside cities,73,Alnuayriyah,Al Nuayriyah,Livability,48.50992707,26.91517793,2019,محافظة النعيرية,00509
Percentage of serious accidents within cities,27,Alnuayriyah,Al Nuayriyah,Livability,48.50992707,26.91517793,2019,محافظة النعيرية,00509
suicide mortality rate,7.79,Alnuayriyah,Al Nuayriyah,Livability,48.50992707,26.91517793,2019,محافظة النعيرية,00509
"The homicide rate per 100,000 population",1.59,Alnuayriyah,Al Nuayriyah,Livability,48.50992707,26.91517793,2019,محافظة النعيرية,00509
"The number of traffic accident injuries per 100,000 people",45,Alnuayriyah,Al Nuayriyah,Livability,48.50992707,26.91517793,2019,محافظة النعيرية,00509
Theft crime rate,108,Alnuayriyah,Al Nuayriyah,Livability,48.50992707,26.91517793,2019,محافظة النعيرية,00509
Traffic accident death rate,25,Alnuayriyah,Al Nuayriyah,Livability,48.50992707,26.91517793,2019,محافظة النعيرية,00509
Traffic accident injury rate,64.44,Alnuayriyah,Al Nuayriyah,Livability,48.50992707,26.91517793,2019,محافظة النعيرية,00509
accidents outside cities,58,Qaryah alulya,Qaryah Al Ulya,Livability,47.3392897,27.16597557,2019,محافظة القرية العليا,00510
accidents within cities,78,Qaryah alulya,Qaryah Al Ulya,Livability,47.3392897,27.16597557,2019,محافظة القرية العليا,00510
Average number of death resulting from traffic accidents (age: 1-15 years),16.9,Qaryah alulya,Qaryah Al Ulya,Livability,47.3392897,27.16597557,2019,محافظة القرية العليا,00510
Average number of injuries resulting from traffic accidents (age more than 36 years),93.6,Qaryah alulya,Qaryah Al Ulya,Livability,47.3392897,27.16597557,2019,محافظة القرية العليا,00510
Average number of injuries resulting from traffic accidents (age: 1-15 years),45.6,Qaryah alulya,Qaryah Al Ulya,Livability,47.3392897,27.16597557,2019,محافظة القرية العليا,00510
Average number of injuries resulting from traffic accidents (age: 16-35 years),109.2,Qaryah alulya,Qaryah Al Ulya,Livability,47.3392897,27.16597557,2019,محافظة القرية العليا,00510
death rate,33,Qaryah alulya,Qaryah Al Ulya,Livability,47.3392897,27.16597557,2019,محافظة القرية العليا,00510
injury rate,68,Qaryah alulya,Qaryah Al Ulya,Livability,47.3392897,27.16597557,2019,محافظة القرية العليا,00510
Per capita green space - square meters per person,2.6,Qaryah alulya,Qaryah Al Ulya,Livability,47.3392897,27.16597557,2019,محافظة القرية العليا,00510
Per capita share of squares and public places,3.9,Qaryah alulya,Qaryah Al Ulya,Livability,47.3392897,27.16597557,2019,محافظة القرية العليا,00510
Percentage of accidents incurred by non-Saudi,83,Qaryah alulya,Qaryah Al Ulya,Livability,47.3392897,27.16597557,2019,محافظة القرية العليا,00510
Percentage of road accidents for Saudi,81,Qaryah alulya,Qaryah Al Ulya,Livability,47.3392897,27.16597557,2019,محافظة القرية العليا,00510
Percentage of serious accidents outside cities,40,Qaryah alulya,Qaryah Al Ulya,Livability,47.3392897,27.16597557,2019,محافظة القرية العليا,00510
Percentage of serious accidents within cities,64,Qaryah alulya,Qaryah Al Ulya,Livability,47.3392897,27.16597557,2019,محافظة القرية العليا,00510
